orphacode,Prevalence,Inheritance,Age of onset,Synonym
733,1-9 / 100 000,"Autosomal dominant, Autosomal recessive",Adult,Colorectal adenomatous polyposis
138,Unknown,"Autosomal dominant, Unknown","Antenatal, Neonatal",CHARGE association
803,1-9 / 100 000,"Autosomal dominant, Autosomal recessive, Not applicable",Adult,ALS
307,Unknown,Multigenic/multifactorial,"Adolescent, Childhood",JME
512,1-9 / 1 000 000,Autosomal recessive,"Adolescent, Adult, Childhood, Infancy",Arylsulfatase A deficiency
558,1-5 / 10 000,Autosomal dominant,All ages,MFS
100,1-9 / 1 000 000,Autosomal recessive,"Childhood, Infancy",Louis-Bar syndrome
870,1-5 / 10 000,Not applicable,"Antenatal, Neonatal",Trisomy 21
501,1-9 / 1 000 000,Autosomal recessive,"Adolescent, Childhood",EPM2
908,1-5 / 10 000,X-linked dominant,"Childhood, Infancy, Neonatal",FRAXA syndrome
399,1-9 / 100 000,Autosomal dominant,"Adolescent, Adult, Childhood, Elderly",Huntington chorea
652,1-9 / 100 000,"Autosomal dominant, Not applicable",All ages,MEN1
790,Unknown,"Autosomal dominant, Not applicable","Antenatal, Childhood, Infancy",
534,1-9 / 1 000 000,X-linked recessive,"Antenatal, Neonatal",Lowe disease
536,1-5 / 10 000,Not applicable,"Adolescent, Adult, Childhood, Infancy",Disseminated lupus erythematosus
232,1-5 / 10 000,Autosomal recessive,All ages,Homozygous hemoglobin S
580,1-9 / 1 000 000,X-linked recessive,Childhood,Hunter syndrome
567,Unknown,Autosomal dominant,All ages,22q11DS
579,1-9 / 1 000 000,Autosomal recessive,All ages,Alpha-L-iduronidase deficiency
3099,Unknown,Not applicable,Childhood,Acute rheumatic fever
905,1-9 / 100 000,Autosomal recessive,"Adolescent, Adult, Childhood, Elderly",Hepatolenticular degeneration
47,1-9 / 1 000 000,"Not applicable, X-linked recessive",Childhood,BTK-deficiency
906,1-9 / 1 000 000,"Autosomal dominant, Autosomal recessive, Not applicable, X-linked recessive","Infancy, Neonatal",Eczema-thrombocytopenia-immunodeficiency syndrome
739,1-9 / 100 000,"Autosomal dominant, Not applicable","Antenatal, Neonatal",Prader-Labhart-Willi syndrome
280,1-9 / 100 000,"Multigenic/multifactorial, Not applicable","Antenatal, Neonatal",4p- syndrome
15,Unknown,Autosomal dominant,"Antenatal, Neonatal",
904,-,Autosomal dominant,"Antenatal, Neonatal",Deletion 7q11.23
383,-, - ,,Conductive deafness with stapes fixation
96,1-9 / 1 000 000,Autosomal recessive,All ages,AVED
783,1-9 / 100 000,"Autosomal dominant, Unknown","Antenatal, Neonatal",Broad thumb-hallux syndrome
792,1-9 / 100 000,X-linked recessive,"Adolescent, Adult, Childhood, Infancy",X-linked juvenile retinoschisis
101,1-9 / 1 000 000,Autosomal dominant,All ages,DRPLA
429,1-9 / 100 000,Autosomal dominant,"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal",
827,1-5 / 10 000,"Autosomal dominant, Autosomal recessive","Adolescent, Adult, Childhood, Elderly",Fundus flavimaculatus
104,1-9 / 100 000,Mitochondrial inheritance,"Adolescent, Adult",LHON
437,Unknown,"Autosomal dominant, Autosomal recessive, X-linked dominant",All ages,
276,1-9 / 100 000,X-linked recessive,Neonatal,SCIDX1
436,Unknown,"Autosomal dominant, Autosomal recessive",All ages,HPP
664,1-9 / 100 000,X-linked recessive,All ages,OCT deficiency
481,1-9 / 100 000,X-linked recessive,Adult,SBMA
2182,1-9 / 100 000,X-linked recessive,"Antenatal, Neonatal",Bickers-Adams syndrome
508,<1 / 1 000 000,Autosomal recessive,"Antenatal, Neonatal",
631,1-5 / 10 000,"Autosomal dominant, Autosomal recessive, X-linked recessive",Neonatal,Congenital IGHD
394,1-9 / 100 000,Autosomal recessive,"Adolescent, Adult, Childhood",Cystathionine beta-synthase-deficient homocystinuria
379,1-9 / 1 000 000,"Autosomal recessive, X-linked recessive","Adolescent, Adult, Childhood, Infancy",CGD
16,1-9 / 100 000,X-linked recessive,Infancy,Atypical X-linked achromatopsia
181,1-9 / 1 000 000,X-linked recessive,"Childhood, Infancy",Christ-Siemens-Touraine syndrome
637,1-9 / 100 000,Autosomal dominant,All ages,Nonmosaic neurofibromatosis type 2
644,1-9 / 100 000,Mitochondrial inheritance,Childhood,Neurogenic muscle weakness-ataxia-retinitis pigmentosa syndrome
649,Unknown,X-linked recessive,"Antenatal, Neonatal",Atrophia bulborum hereditaria
636,1-5 / 10 000,Autosomal dominant,"Infancy, Neonatal",Nonmosaic neurofibromatosis type 1
640,1-9 / 100 000,Autosomal dominant,"Adolescent, Adult, Childhood, Elderly, Infancy",Current pressure-sensitive neuropathy
524,Unknown,Autosomal dominant,All ages,
699,Unknown,"Mitochondrial inheritance, Not applicable","Childhood, Infancy, Neonatal",Pearson marrow-pancreas syndrome
60,1-5 / 10 000,Autosomal recessive,All ages,Alpha1-antitrypsin deficiency
510,1-9 / 1 000 000,X-linked recessive,Infancy,HPRT complete deficiency
337,<1 / 1 000 000,"Autosomal dominant, Not applicable",Childhood,FOP
3444,-, - ,,Pulmonic stenosis with 'café-au-lait' spots
377,1-9 / 100 000,Autosomal dominant,"Adolescent, Adult",Basal cell nevus syndrome
706,-, - ,,NON RARE IN EUROPE: Patent ductus arteriosus
648,1-5 / 10 000,"Autosomal dominant, Autosomal recessive","Antenatal, Childhood, Infancy, Neonatal",
281,Unknown,"Not applicable, Unknown",Antenatal,Cri du chat syndrome
752,-,Autosomal recessive,"Adolescent, Neonatal",17-beta-hydroxysteroid dehydrogenase 3 deficiency
214,1-5 / 10 000,"Autosomal recessive, Semi-dominant",All ages,Cystinuria-lysinuria syndrome
673,1-9 / 100 000,Not applicable,All ages,
628,1-9 / 100 000,Autosomal recessive,"Antenatal, Neonatal",Diastrophic dwarfism
682,1-9 / 1 000 000,Autosomal dominant,Childhood,Adynamia episodica hereditaria
681,1-9 / 100 000,Autosomal dominant,"Adolescent, Childhood",Westphall disease
3140,-, - ,,
800,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Aberfeld syndrome
894,Unknown,Autosomal dominant,Neonatal,WS1
857,1-9 / 1 000 000,Autosomal dominant,All ages,Sensorineural hearing loss with imperforate anus and hypoplastic thumbs
896,Unknown,"Autosomal dominant, Autosomal recessive",Neonatal,Klein-Waardenburg syndrome
862,-, - ,,
895,<1 / 1 000 000,Autosomal dominant,Neonatal,WS2
912,Unknown,Autosomal recessive,Neonatal,Cerebrohepatorenal syndrome
893,Unknown,Autosomal dominant,"Antenatal, Neonatal",Del(11)(p13)
2869,1-9 / 1 000 000,Autosomal dominant,"Adolescent, Adult, Childhood",Hamartomatous intestinal polyposis
710,Unknown,Autosomal dominant,"Antenatal, Neonatal",ACS5
794,1-9 / 100 000,Autosomal dominant,"Antenatal, Neonatal",ACS3
107,1-9 / 100 000,Autosomal dominant,"Antenatal, Childhood, Infancy, Neonatal",Branchiootorenal syndrome
126,Unknown,"Autosomal dominant, Not applicable",Antenatal,BPES
774,1-5 / 10 000,Autosomal dominant,All ages,HHT
207,1-9 / 1 000 000,Autosomal dominant,"Antenatal, Infancy, Neonatal",Crouzon craniofacial dysostosis
192,1-9 / 100 000,X-linked dominant,"Childhood, Infancy, Neonatal",CLS
195,1-9 / 100 000,Not applicable,"Antenatal, Neonatal",CES
201,Unknown,Autosomal dominant,All ages,Cowden disease
205,1-9 / 100 000,Autosomal recessive,"Infancy, Neonatal",Bilirubin uridinediphosphate glucuronosyltransferase deficiency
53,1-9 / 100 000,Autosomal dominant,Childhood,Osteopetrosis autosomal dominant type 2
52,Unknown,Autosomal dominant,All ages,Alagille-Watson syndrome
14,<1 / 1 000 000,Autosomal recessive,"Childhood, Infancy",Bassen-Kornzweig disease
167,Unknown,Autosomal recessive,Childhood,Chédiak-Higashi disease
1247,<1 / 1 000 000,Not applicable,All ages,Bilharziasis
1646,1-5 / 10 000,"Not applicable, Y-linked",Adult,Male infertility due to chromosome Y microdeletion
112,Unknown,"Autosomal dominant, Autosomal recessive, X-linked recessive","Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal",Renal tubular normotensive hypokalemic alkalosis with hypercalciuria
116,1-5 / 10 000,"Autosomal dominant, Unknown","Antenatal, Neonatal",BWS
50,1-9 / 1 000 000,X-linked dominant,Neonatal,Agenesis of corpus callosum with chorioretinal abnormality
406,-, - ,,NON RARE IN EUROPE: HeFH
87,1-9 / 100 000,Autosomal dominant,"Antenatal, Neonatal",ACS1
99,1-9 / 100 000,Autosomal dominant,All ages,ADCA
97,Unknown,Autosomal dominant,Childhood,Episodic ataxia type 2
2442,<1 / 1 000 000,X-linked recessive,"Adolescent, Adult, Childhood, Infancy",Duncan disease
555,-, - ,,NON RARE IN EUROPE: Celiac sprue
313,1-9 / 1 000 000,"Autosomal dominant, Autosomal recessive",Neonatal,LI
562,1-9 / 1 000 000,Not applicable,Childhood,
2443,1-9 / 100 000,Autosomal recessive,All ages,Mitochondrial oxidative phosphorylation disorder due to nDNA anomalies
568,Unknown,X-linked recessive,Neonatal,Lenz microphthalmia
565,Unknown,X-linked recessive,Neonatal,Menkes kinky hair disease
564,<1 / 1 000 000,Autosomal recessive,Antenatal,Dysencephalia splanchnocystica
540,Unknown,Autosomal recessive,"Adolescent, Infancy",Familial HLH
474,Unknown,Autosomal recessive,"Antenatal, Neonatal",Asphyxiating thoracic dystrophy of the newborn
258,1-9 / 1 000 000,Autosomal recessive,Neonatal,CMD1A
289,Unknown,Autosomal recessive,"Antenatal, Neonatal",Chondroectodermal dysplasia
357,-, - ,,NON RARE IN EUROPE: Familial cholemia
1991,-, - ,,"Tessier cleft number 1,2"
861,1-9 / 100 000,"Autosomal dominant, Autosomal recessive","Antenatal, Neonatal",Franceschetti-Klein syndrome
930,1-9 / 100 000,"Autosomal recessive, Not applicable",All ages,Achalasia cardia
308,-,Autosomal recessive,"Adolescent, Childhood",Unverricht-Lundborg disease
2162,Unknown,"Autosomal recessive, Multigenic/multifactorial, Not applicable, Oligogenic, X-linked dominant","Antenatal, Neonatal",HPE
199,-,"Autosomal dominant, Not applicable, X-linked recessive","Antenatal, Neonatal",Brachmann-de Lange syndrome
998,<1 / 1 000 000,X-linked recessive,Neonatal,Albinism-hearing loss syndrome
106,-, - ,,
999,<1 / 1 000 000,Autosomal recessive,Neonatal,O'Doherty syndrome
1349,<1 / 1 000 000,Mitochondrial inheritance,"Adult, Childhood",mtDNA-related cardiomyopathy and deafness
218,1-9 / 100 000,Autosomal dominant,"Adolescent, Adult, Childhood",Darier-White disease
1465,<1 / 1 000 000,Autosomal dominant,"Antenatal, Neonatal",CSS
1000,<1 / 1 000 000,X-linked recessive,Adult,Ocular albinism with late-onset sensorineural hearing loss
55,1-9 / 100 000,Autosomal recessive,Neonatal,OCA
2771,<1 / 1 000 000,Autosomal recessive,"Antenatal, Childhood, Infancy, Neonatal",Osteogenesis imperfecta-congenital joint contractures syndrome
1636,<1 / 1 000 000, - ,"Antenatal, Neonatal",Distal deletion 7q36
753,Unknown,Autosomal recessive,"Adolescent, Childhood, Infancy, Neonatal","46,XY DSD due to 5-alpha-reductase 2 deficiency"
868,<1 / 1 000 000,Autosomal recessive,Neonatal,
1598,1-9 / 100 000,Autosomal dominant,"Antenatal, Infancy, Neonatal",18p- syndrome
1600,Unknown,Autosomal dominant,"Antenatal, Neonatal",18q- syndrome
3378,1-9 / 1 000 000,"Not applicable, Unknown","Antenatal, Neonatal",Patau syndrome
8,1-5 / 10 000,Not applicable,All ages,Jacobs syndrome
1642,<1 / 1 000 000, - ,"Infancy, Neonatal",Distal monosomy 9p
1716,-, - ,"Antenatal, Neonatal",Distal trisomy 18q
1715,<1 / 1 000 000, - ,"Adolescent, Adult, Childhood, Infancy",Duplication 18p
1707,-, - ,"Antenatal, Neonatal",Distal trisomy 15q
3380,1-9 / 1 000 000,"Not applicable, Unknown","Antenatal, Neonatal",Chromosome 18 duplication
236,<1 / 1 000 000, - ,"Antenatal, Neonatal",Duplication 9p
1727,Unknown,Autosomal dominant,All ages,Dup(22)(q11)
464,1-9 / 1 000 000,X-linked dominant,Neonatal,Bloch-Siemens syndrome
370,1-9 / 100 000,"Autosomal recessive, X-linked recessive",All ages,GSD due to phosphorylase kinase deficiency
385,1-9 / 1 000 000,"Autosomal dominant, Autosomal recessive, X-linked dominant","Adolescent, Adult, Childhood, Infancy",NBIA
484,-, - ,,"NON RARE IN EUROPE: 47,XXY syndrome"
3084,-, - ,,Pigmentary retinopathy-intellectual disability syndrome
596,Unknown,X-linked recessive,"Antenatal, Neonatal",XLCNM
2772,<1 / 1 000 000,Autosomal recessive,"Antenatal, Neonatal",
626,1-9 / 100 000,Multigenic/multifactorial,"Infancy, Neonatal",LGCMN
3307,1-9 / 1 000 000,Not applicable,"Antenatal, Neonatal",Isochromosome 18p
352,Unknown,Autosomal recessive,"Childhood, Infancy, Neonatal",
1947,Unknown,Autosomal recessive,Childhood,"Progressive epilepsy-intellectual disability syndrome, Finnish type"
2609,Unknown,"Autosomal recessive, Mitochondrial inheritance, X-linked dominant",All ages,Isolated NADH-coenzyme Q reductase deficiency
610,<1 / 1 000 000,"Autosomal dominant, Autosomal recessive","Childhood, Infancy",Bethlem myopathy
2773,<1 / 1 000 000,Unknown,"Infancy, Neonatal",Al Gazali-Nair syndrome
11,Unknown, - ,Neonatal,"49,XXXXX syndrome"
3085,<1 / 1 000 000,Autosomal recessive,Childhood,Edwards-Sethi syndrome
819,1-9 / 100 000,Autosomal dominant,"Adolescent, Adult, Childhood, Infancy, Neonatal",17p11.2 microdeletion syndrome
9,<1 / 1 000 000, - ,"Infancy, Neonatal","48,XXXX syndrome"
773,1-9 / 1 000 000,Autosomal recessive,"Adolescent, Adult, Childhood",Adult Refsum disease
915,Unknown,"Autosomal dominant, Autosomal recessive, X-linked recessive",Childhood,Aarskog syndrome
2614,1-9 / 100 000,Autosomal dominant,"Antenatal, Childhood, Infancy, Neonatal",Onychoosteodysplasia
924,-, - ,,
22,Unknown,Autosomal recessive,"Childhood, Infancy, Neonatal",4-hydroxybutyric aciduria
33,1-9 / 100 000,Autosomal recessive,"Adolescent, Adult, Childhood, Infancy, Neonatal",Isovaleric acid CoA dehydrogenase deficiency
29,<1 / 1 000 000,Autosomal recessive,"Childhood, Infancy, Neonatal",Complete mevalonate kinase deficiency
44,Unknown,Autosomal recessive,"Childhood, Infancy, Neonatal",NALD
963,1-9 / 100 000,Not applicable,"Adolescent, Adult, Childhood, Elderly, Infancy",
245,Unknown,"Autosomal dominant, Autosomal recessive, Not applicable","Antenatal, Neonatal",Mandibulofacial dysostosis with preaxial limb anomalies
56,1-9 / 1 000 000,Autosomal recessive,"Adult, Infancy",Hereditary ochronosis
30,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Orotidylic decarboxylase deficiency
1006,<1 / 1 000 000,Unknown,"Childhood, Infancy",Ipp-Gelfand syndrome
36,<1 / 1 000 000,Autosomal recessive,"Antenatal, Neonatal",ACS
1135,-, - ,,
90,<1 / 1 000 000,Autosomal recessive,"Childhood, Infancy",Arginase 1 deficiency
1143,Unknown,Autosomal recessive,Neonatal,
1046,<1 / 1 000 000,Unknown,Neonatal,Water-West syndrome
1059,Unknown,"Autosomal dominant, Not applicable",Childhood,Bean syndrome
1065,<1 / 1 000 000,"Autosomal dominant, Autosomal recessive, Not applicable","Infancy, Neonatal",Gillespie syndrome
1146,Unknown,Autosomal dominant,"Antenatal, Neonatal",Digitotalar dysmorphism
1155,-, - ,,
1162,-, - ,,
1154,Unknown,"Autosomal dominant, Autosomal recessive",Neonatal,Distal arthrogryposis type 5
1232,-, - ,,
1147,Unknown,"Autosomal dominant, Not applicable",Neonatal,SSH
124,Unknown,Autosomal dominant,"Childhood, Infancy, Neonatal",Diamond-Blackfan anemia syndrome
125,Unknown,Autosomal recessive,"Antenatal, Neonatal",BSyn
1310,Unknown,"Autosomal dominant, Unknown","Antenatal, Childhood, Infancy, Neonatal",Infantile cortical hyperostosis
1334,Unknown,"Autosomal dominant, Autosomal recessive","Childhood, Infancy",CMC
1369,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Sengers syndrome
1442,<1 / 1 000 000, - ,"Antenatal, Infancy, Neonatal",Ring chromosome 18
1455,-, - ,,
1414,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Aagenaes syndrome
193,Unknown,Autosomal recessive,"Antenatal, Infancy, Neonatal",
200,-,Not applicable,Antenatal,
1417,-, - ,,OBSOLETE: Akaba-Hayasaka syndrome
1406,<1 / 1 000 000,Not applicable,Neonatal,
1488,<1 / 1 000 000,Autosomal recessive,Neonatal,Aural atresia-multiple congenital anomalies-intellectual disability syndrome
1452,1-9 / 1 000 000,"Autosomal dominant, Not applicable","Antenatal, Neonatal",Cleidocranial dysostosis
1496,<1 / 1 000 000,Autosomal recessive,"Antenatal, Neonatal",Andermann syndrome
1538,<1 / 1 000 000,Autosomal dominant,Infancy,Braddock-Jones-Superneau syndrome
23,1-9 / 100 000,Autosomal recessive,All ages,ASA deficiency
1564,-, - ,,
217,1-9 / 100 000,Multigenic/multifactorial,"Antenatal, Neonatal",
45,Unknown,Autosomal recessive,All ages,AMP deaminase deficiency
226,Unknown,Autosomal recessive,"Infancy, Neonatal",Hyperphenylalaninemia due to dihydropteridine reductase deficiency
1556,Unknown,Not applicable,Neonatal,CMTC
148,Unknown,Autosomal recessive,"Infancy, Neonatal",MCD
147,Unknown,Autosomal recessive,All ages,CPS1 deficiency
408,Unknown,X-linked recessive,All ages,Hyperglycerolemia
395,Unknown,Autosomal recessive,"Infancy, Neonatal",MTHFR deficiency
765,Unknown,"Autosomal recessive, Not applicable, X-linked dominant","Childhood, Infancy, Neonatal",PDH
235,Unknown,Autosomal recessive,"Antenatal, Neonatal",
1770,<1 / 1 000 000,Autosomal recessive,Neonatal,
833,Unknown,Autosomal recessive,"Antenatal, Infancy, Neonatal",
239,<1 / 1 000 000,Autosomal recessive,Infancy,
1819,-, - ,,
1764,<1 / 1 000 000,Autosomal recessive,"Childhood, Infancy, Neonatal",HSAN3
1672,Unknown,Not applicable,"Adolescent, Adult, Childhood, Infancy",Diencephalic cachexia
246,<1 / 1 000 000,Autosomal recessive,"Antenatal, Neonatal",Miller syndrome
1851,Unknown,Not applicable,"Infancy, Neonatal",MCDK
1880,1-9 / 100 000,"Autosomal dominant, Not applicable",All ages,Ebstein anomaly of the tricuspid valve
1775,1-9 / 1 000 000,"Autosomal dominant, Autosomal recessive, X-linked recessive","Adolescent, Adult, Childhood, Infancy, Neonatal",DC
255,1-9 / 1 000 000,"Autosomal dominant, Autosomal recessive, Not applicable",Childhood,HPD with diurnal fluctuation
1885,<1 / 1 000 000,"Autosomal dominant, Autosomal recessive",All ages,Ectopia lentis syndrome
1915,Unknown,Not applicable,"Antenatal, Neonatal",ARBD
1931,-, - ,"Antenatal, Infancy, Neonatal",Anterior encephalocele
295,Unknown,Not applicable,"Antenatal, Neonatal",Mother-to-child transmission of parvovirus syndrome
2005,-, - ,,OBSOLETE: Novak syndrome
2020,Unknown,"Autosomal dominant, Autosomal recessive, X-linked recessive","Infancy, Neonatal",CFTDM
1933,<1 / 1 000 000,Mitochondrial inheritance,Infancy,Booth-Haworth-Dilling syndrome
2053,<1 / 1 000 000,"Autosomal dominant, Autosomal recessive","Antenatal, Neonatal",Craniocarpotarsal dysplasia
374,-, - ,,Facioauriculovertebral sequence
351,Unknown,Autosomal recessive,All ages,Goldberg syndrome
2113,-, - ,,CHHS
2116,1-9 / 100 000,Autosomal recessive,All ages,"Aminoaciduria, Hartnup type"
2118,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",4-HPPD deficiency
446,<1 / 1 000 000,Autosomal recessive,Neonatal,
2135,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Mastocytosis-short stature-hearing loss syndrome
417,Unknown,"Autosomal recessive, Not applicable",Neonatal,NSHPT
2233,<1 / 1 000 000,Unknown,Infancy,Cantalamessa-Baldini-Ambrosi syndrome
2140,Unknown,"Multigenic/multifactorial, Not applicable",Neonatal,CDH
2185,Unknown,Not applicable,Antenatal,
2248,Unknown,Unknown,"Antenatal, Neonatal",HLHS
2253,<1 / 1 000 000,Autosomal dominant,Adult,O'Donnell-Pappas syndrome
2300,Unknown,Autosomal recessive,"Antenatal, Neonatal",
2301,<1 / 1 000 000,"Autosomal recessive, X-linked recessive","Infancy, Neonatal",
2308,Unknown,"Not applicable, Unknown",Antenatal,Chromosome 11q deletion syndrome
469,1-9 / 100 000,Autosomal recessive,All ages,Hereditary fructose-1-phosphate aldolase deficiency
2343,-, - ,,
477,<1 / 1 000 000,"Autosomal dominant, Autosomal recessive, Not applicable",Neonatal,KID/HID syndrome
2346,Unknown,"Autosomal dominant, Not applicable","Adolescent, Childhood, Infancy",Klippel-Trénaunay-Weber syndrome
2370,<1 / 1 000 000, - ,Neonatal,
2318,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Arima syndrome
2373,-, - ,"Infancy, Neonatal",
502,<1 / 1 000 000,Autosomal dominant,"Childhood, Infancy, Neonatal",Langer-Giedion syndrome
2374,Unknown, - ,"Infancy, Neonatal",
506,Unknown,"Autosomal recessive, Mitochondrial inheritance, X-linked recessive",All ages,Infantile subacute necrotizing encephalopathy
2414,Unknown,Autosomal recessive,Neonatal,Pulmonary lymphangiomatosis
2377,Unknown,Autosomal recessive,Neonatal,LMS
2431,-, - ,,
2430,-, - ,Neonatal,
2444,Unknown,Not applicable,"Adolescent, Adult, Antenatal, Neonatal",CCAM
1505,Unknown,Autosomal recessive,"Antenatal, Neonatal",
560,<1 / 1 000 000,"Autosomal dominant, Autosomal recessive",Neonatal,
587,-, - ,,"Multiple keratoacanthoma, Muir-Torre type"
2466,Unknown,X-linked recessive,Neonatal,Intellectual disability-aphasia-shuffling gait-adducted thumbs syndrome
2635,<1 / 1 000 000,"Autosomal dominant, Not applicable","Antenatal, Neonatal",Metatropic dwarfism
606,1-9 / 100 000,Autosomal dominant,"Adolescent, Adult, Elderly",Myotonic dystrophy type 2
2655,<1 / 1 000 000,"Autosomal dominant, Not applicable","Antenatal, Neonatal",TD
570,Unknown,Autosomal dominant,"Antenatal, Neonatal",Möbius syndrome
660,1-5 / 10 000,Not applicable,Antenatal,
2801,<1 / 1 000 000,Autosomal recessive,Childhood,Familial osteoectasia
884,Unknown,"Not applicable, Unknown","Antenatal, Neonatal",Isochromosome 12p mosaicism
2785,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Carbonic anhydrase 2 deficiency
2612,Unknown,Not applicable,"Childhood, Infancy, Neonatal",Nevus sebaceus of Jadassohn
635,1-5 / 10 000,Not applicable,Childhood,
2744,Unknown,Autosomal recessive,"Adolescent, Childhood",HGPPS
2870,-, - ,,NON RARE IN EUROPE: Induratio penis plastica
2746,<1 / 1 000 000,Autosomal recessive,Neonatal,
717,-, - ,,
